NotSquare Data
Color:5, upperC:0, upperR: 0, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:0, upperC:10, upperR: 10, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:11, upperR: 10, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:10, upperR: 11, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:11, upperR: 11, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:12, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:8, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:8, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:10, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:8, upperR: 14, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:8, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:9, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:8, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:9, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:10, upperR: 14, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:10, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:11, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:10, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:11, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:12, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:12, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:14, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:12, upperR: 14, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:12, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:13, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:12, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:13, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:14, upperR: 14, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:14, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:15, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:14, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:15, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:16, upperR: 0, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:16, upperR: 0, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:24, upperR: 0, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:16, upperR: 8, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:16, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:20, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:16, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:16, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:18, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:16, upperR: 14, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:16, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:17, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:16, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:17, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:18, upperR: 14, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:18, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:19, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:18, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:19, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:20, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:20, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:22, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:20, upperR: 14, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:20, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:21, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:20, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:21, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:22, upperR: 14, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:22, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:23, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:22, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:23, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:24, upperR: 8, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:24, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:28, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:24, upperR: 12, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:24, upperR: 12, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:24, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:25, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:24, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:25, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:26, upperR: 12, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:26, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:27, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:26, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:27, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:24, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:26, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:28, upperR: 12, NWkid Color:5, NEkid Color:5, SWkid Color:5, SEkid Color:5
Color:5, upperC:28, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:28, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:29, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:28, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:29, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:30, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:30, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:31, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:30, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:31, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:28, upperR: 14, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:28, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:29, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:28, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:29, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:30, upperR: 14, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:30, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:31, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:30, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:31, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:0, upperR: 16, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:0, upperR: 16, NWkid Color:0, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:0, upperC:0, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:4, upperR: 16, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:4, upperR: 16, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:4, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:5, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:4, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:5, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:6, upperR: 16, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:6, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:7, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:6, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:7, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:4, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:6, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:0, upperR: 20, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:4, upperR: 20, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:8, upperR: 16, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:8, upperR: 16, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:8, upperR: 16, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:8, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:9, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:8, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:9, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:10, upperR: 16, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:10, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:11, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:10, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:11, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:8, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:10, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:12, upperR: 16, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:12, upperR: 16, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:12, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:13, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:12, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:13, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:14, upperR: 16, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:14, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:15, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:14, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:15, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:12, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:14, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:8, upperR: 20, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:12, upperR: 20, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:0, upperR: 24, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:8, upperR: 24, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:16, upperR: 16, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:16, upperR: 16, NWkid Color:0, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:0, upperC:16, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:20, upperR: 16, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:20, upperR: 16, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:20, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:21, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:20, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:21, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:22, upperR: 16, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:22, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:23, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:22, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:23, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:20, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:22, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:16, upperR: 20, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:20, upperR: 20, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:24, upperR: 16, NWkid Color:5, NEkid Color:0, SWkid Color:0, SEkid Color:0
Color:5, upperC:24, upperR: 16, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:24, upperR: 16, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:24, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:25, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:24, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:25, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:26, upperR: 16, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:26, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:27, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:26, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:27, upperR: 17, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:24, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:26, upperR: 18, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:28, upperR: 16, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:24, upperR: 20, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:28, upperR: 20, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:16, upperR: 24, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:24, upperR: 24, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:32, upperR: 0, NWkid Color:5, NEkid Color:5, SWkid Color:5, SEkid Color:5
Color:5, upperC:32, upperR: 0, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:32, upperR: 0, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:40, upperR: 0, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:32, upperR: 8, NWkid Color:5, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:5, upperC:32, upperR: 8, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:32, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:34, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:32, upperR: 10, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:32, upperR: 10, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:33, upperR: 10, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:32, upperR: 11, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:33, upperR: 11, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:34, upperR: 10, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:34, upperR: 10, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:35, upperR: 10, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:34, upperR: 11, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:35, upperR: 11, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:36, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:32, upperR: 12, NWkid Color:5, NEkid Color:5, SWkid Color:5, SEkid Color:5
Color:5, upperC:32, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:32, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:33, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:32, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:33, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:34, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:34, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
